COVID-19 Vaccinations in the United States
Date generated: Wed May 05 2021 12:07:12 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Dept of Defense,3821940,N/A,N/A,2993261,N/A,2970685,N/A,1826465,N/A,1809163,N/A,1157722,N/A,1152779,N/A,2045940,1602300,173700,0,71552,1328767,1592543,399,477333,611752,68637,0,477288,606874,68617,0,1089085,N/A,1809163,N/A,0,1084162,0,1826465,164006,0,113726,0,39849,70656,3221,0,283104,0,0
Delaware,1011365,103861,131313,787056,80826,777972,101010,464102,47.7,457918,59.5,334001,34.3,332225,43.1,527865,427000,56500,0,34265,319365,433188,238,123974,176333,33586,108,123939,174616,33562,108,300415,47.7,457918,59.5,30.9,298663,38.8,464102,166777,88.3,140603,74.4,57332,76291,6909,71,308539,163329,535380
Florida,21184875,98636,122826,15606003,72661,15498198,89856,9138942,42.6,9052175,52.5,6481275,30.2,6461015,37.5,10995075,8774000,1415800,0,561071,6789833,8229842,25257,2663863,3254689,554521,8202,2663205,3235359,554250,8201,5926754,42.6,9052175,52.5,27.6,5906765,34.2,9138942,3800518,84.5,3141419,69.9,1580664,1424238,130101,6416,7225934,160671,471054
Federated States of Micronesia,63200,60979,78177,35663,34409,35642,44088,21130,20.4,21113,26.1,14829,14.3,14825,18.3,0,61600,1600,0,311,35352,0,0,14492,26,311,0,14488,26,311,0,14518,20.4,21113,26.1,14,14514,18,21130,1864,10.6,1471,8.3,1412,5,54,0,3264,18525,358704
Georgia,9721415,91561,119817,6503909,61257,6430104,79252,3769478,35.5,3718010,45.8,2730134,25.7,2707749,33.4,5104515,4089400,527500,0,145378,2927519,3430573,439,1207769,1379691,142421,253,1207542,1357745,142211,251,2587713,35.5,3718010,45.8,24.4,2565538,31.6,3769478,1161323,76.6,966667,63.7,544878,403158,18490,141,2196990,144829,640851
Guam,140740,84902,108848,134018,80847,130706,101088,77693,46.9,75486,58.4,56862,34.3,55759,43.1,76440,53200,11100,0,1323,52712,79983,0,21211,34322,1329,0,21207,33223,1329,0,55533,46.9,75486,58.4,33.5,54430,42.1,77693,13798,49,11836,42,5002,6724,110,0,25685,91143,499414
Hawaii,1514400,106959,135698,1259768,88975,1245034,111562,763392,53.9,750405,67.2,522156,36.9,519772,46.6,826800,615000,72600,0,21777,443809,700422,93760,181788,300071,22226,18071,181629,297943,22146,18054,499930,53.9,750405,67.2,35.3,497626,44.6,763392,232520,86.6,188674,70.3,76614,105937,4714,1409,415159,154652,564132
Iowa,2856615,90540,117642,2461590,78020,2435786,100311,1411697,44.7,1393651,57.4,1128668,35.8,1121120,46.2,1458015,1231900,166700,0,94217,1118841,1248410,122,499705,536298,92614,51,499640,528860,92569,51,1036054,44.7,1393651,57.4,32.8,1028551,42.4,1411697,473014,85.5,438316,79.3,235985,194506,7786,39,908202,164245,516610
Idaho,1453795,81351,108584,1102927,61717,1102886,82375,614283,34.4,614168,45.9,500882,28,500844,37.4,748995,614600,90200,0,31485,490645,580274,523,213459,255915,31354,154,213455,255891,31344,154,469528,34.4,614168,45.9,26.3,469500,35.1,614283,222765,76.6,204004,70.2,95668,101480,6789,67,425324,146325,500153
Indian Health Svc,1683715,80839,N/A,1264250,60699,1234739,N/A,721957,34.7,703892,N/A,554526,26.6,543122,N/A,705315,904700,73700,0,19970,709262,535018,0,300518,234194,19814,0,300350,222989,19783,0,534712,34.7,703892,N/A,25.7,523339,0,721957,145479,0,117102,0,67344,47653,2105,0,263476,0,0
Illinois,12360865,97546,125441,9705012,76587,9576183,97181,6012435,47.4,5904688,59.9,3998074,31.6,3971529,40.3,6518265,5099000,743600,0,316030,4126550,5257073,5359,1612260,2067504,316496,1814,1610654,2043875,315193,1807,3681578,47.4,5904688,59.9,29.1,3656336,37.1,6012435,1726361,84.5,1346934,65.9,629091,668934,47795,1114,3029045,148248,604966
Indiana,5610540,83339,108642,4277886,63543,4238421,82072,2473686,36.7,2444387,47.3,1886703,28,1879530,36.4,2970240,2286500,353800,0,138491,1780996,2349891,8508,751022,996014,136885,2782,750950,988995,136805,2780,1749818,36.7,2444387,47.3,26,1742725,33.7,2473686,852532,78.5,786388,72.4,394106,373962,16523,1797,1648493,151831,516747
Kansas,2765345,94921,124955,2059674,70699,2039184,92143,1252195,43,1236173,55.9,951548,32.7,944149,42.7,1386645,1232700,146000,0,59695,952616,1046824,539,422528,468879,59976,165,422455,461590,59940,164,891572,43,1236173,55.9,30.6,884209,40,1252195,419416,88.2,348095,73.2,170029,166972,11001,93,737562,155117,581582
Kentucky,4023755,90064,116132,3196561,71549,3167369,91416,1855240,41.5,1834623,53,1456343,32.6,1448128,41.8,2072655,1721600,229500,0,109796,1440953,1645498,314,623508,725493,107098,244,623428,717413,107044,243,1349245,41.5,1834623,53,30.2,1341084,38.7,1855240,607347,80.9,525410,70,239028,260492,25738,152,1091589,145436,536098
Louisiana,3687450,79321,103546,2733324,58796,2715459,76252,1508110,32.4,1496643,42,1252156,26.9,1245914,35,1873950,1586600,226900,0,91958,1271895,1368495,976,546417,617028,88223,488,546314,610962,88151,487,1163933,32.4,1496643,42,25,1157763,32.5,1508110,552459,74.6,507759,68.5,240257,251419,15986,97,1067047,143997,497617
Massachusetts,7792680,113060,140670,6438914,93419,6346585,114565,3977645,57.7,3904832,70.5,2655965,38.5,2635758,47.6,4185480,3211300,395900,0,217851,2748177,3472789,97,1076079,1361259,218608,19,1075148,1342622,217969,19,2437357,57.7,3904832,70.5,35.4,2417789,43.6,3977645,1072898,91.8,916532,78.4,420383,441868,54270,11,1934412,165429,666422
Maryland,6251320,103401,132696,4946283,81815,4879636,103580,2995467,49.5,2943415,62.5,2147415,35.5,2133622,45.3,3376620,2533800,340900,0,193213,2095233,2654578,3259,863344,1096122,187000,949,863232,1082540,186903,947,1960415,49.5,2943415,62.5,32.4,1946719,41.3,2995467,815572,85,718693,74.9,352789,325566,39949,389,1481132,154382,651589
Maine,1430130,106392,130561,1224746,91113,1213575,110791,750419,55.8,740641,67.6,557579,41.5,556138,50.8,720330,619200,90600,0,74953,540229,609408,156,223029,259668,74832,50,223002,258289,74802,45,482747,55.8,740641,67.6,35.9,481336,43.9,750419,259507,91,239789,84.1,109351,112457,17967,14,479075,167940,501334
Marshall Islands,51300,87823,112594,27154,46486,27100,59479,14827,25.4,14786,32.5,12336,21.1,12321,27,0,40500,10800,0,35,27119,0,0,12293,4,39,0,12278,4,39,0,12297,25.4,14786,32.5,21.1,12282,27,14827,920,9.3,773,7.8,770,0,3,0,1690,17019,516616
Michigan,9879700,98927,125970,7325604,73352,7237799,92284,4322662,43.3,4256059,54.3,3325862,33.3,3303258,42.1,5175300,4133700,570700,0,235733,3164131,3924484,1256,1383230,1701913,240201,518,1383003,1679658,240081,516,3085661,43.3,4256059,54.3,30.9,3063177,39.1,4322662,1409108,79.8,1268504,71.9,640531,581138,46481,354,2604063,147505,559629
Minnesota,5176510,91788,119371,4509359,79958,4448594,102585,2709898,48.1,2662118,61.4,2021447,35.8,2008034,46.3,2737410,2157100,282000,0,198605,1907105,2403411,238,814404,1006160,200823,60,814258,993022,200694,60,1820624,48.1,2662118,61.4,32.3,1807340,41.7,2709898,807666,87.8,735721,79.9,312219,385264,38213,25,1489332,161817,562431
Missouri,5369365,87486,112640,4096058,66739,4059817,85168,2344903,38.2,2319025,48.6,1756227,28.6,1748349,36.7,2860065,2223700,285600,0,123444,1617749,2354514,351,676657,955399,124114,57,676524,947767,124002,56,1632113,38.2,2319025,48.6,26.6,1624347,34.1,2344903,808527,76.1,694320,65.4,317055,352031,25209,25,1517317,142869,505572
Northern Mariana Islands,72330,127158,163023,41275,72562,40411,91081,22653,39.8,22088,49.8,18673,32.8,18374,41.4,49530,20200,2600,0,48,5480,35747,0,2268,16353,52,0,2268,16054,52,0,18621,39.8,22088,49.8,32.7,18322,41.3,22653,2461,25.4,2290,23.7,346,1903,41,0,4712,48728,747983
Mississippi,2468665,82948,108390,1616672,54321,1608010,70602,935532,31.4,929645,40.8,723710,24.3,720860,31.7,1218165,1095800,154700,0,45767,779327,790718,860,340407,338520,44757,26,340331,335783,44720,26,678953,31.4,929645,40.8,22.8,676140,29.7,935532,353813,72.7,301306,61.9,160694,128391,12212,9,637721,131031,507232
Montana,1003745,93915,119466,774946,72508,766218,91196,441030,41.3,435391,51.8,353547,33.1,350507,41.7,489645,450700,63400,0,22859,367149,384738,200,162578,168474,22434,61,162519,165508,22419,61,331113,41.3,435391,51.8,31,328088,39,441030,161512,78.2,144342,69.9,70160,68769,5377,36,299418,145041,486223
North Carolina,10101810,96317,123383,7227406,68911,7138395,87188,4173701,39.8,4111286,50.2,3212803,30.6,3185814,38.9,5369910,4156500,575400,0,242110,3005731,3979236,329,1259302,1714922,238545,34,1258143,1689933,237704,34,2974258,39.8,4111286,50.2,28.4,2948110,36,4173701,1353770,77.3,1192947,68.1,561708,605419,25795,25,2568811,146697,576886
North Dakota,647200,84927,111224,567924,74525,561645,96521,300916,39.5,297319,51.1,253372,33.2,251194,43.2,319800,293600,33800,0,22023,249876,296025,0,107442,126503,19426,1,107350,124488,19355,1,233946,39.5,297319,51.1,30.7,231839,39.8,300916,97256,81.2,85276,71.2,42211,40260,2805,0,187857,156750,540031
Nebraska,1812310,93688,124273,1463240,75643,1446209,99169,844553,43.7,831709,57,666579,34.5,662241,45.4,970710,742700,98900,0,52852,612160,795713,2515,263506,349296,53041,736,263446,345049,53011,735,613538,43.7,831709,57,31.7,609230,41.8,844553,262822,84.1,238988,76.5,116060,118546,3850,532,504671,161516,580017
New Hampshire,1353385,99535,122538,1157226,85108,1146793,103833,830096,61,821008,74.3,410323,30.2,409286,37.1,679185,571800,102400,0,52516,496844,607839,27,181025,175817,53466,15,180879,174949,53443,15,356857,61,821008,74.3,26.2,355843,32.2,830096,291290,99.9,183984,72.5,82802,88904,12268,10,451411,177816,533114
New Jersey,9006975,101405,129716,7518475,84647,7424780,106930,4660766,52.5,4589724,66.1,3354569,37.8,3330898,48,4782375,3711700,512900,0,283312,3255700,3978988,475,1347171,1721781,285592,25,1346981,1698415,285480,22,3068977,52.5,4589724,66.1,34.6,3045418,43.9,4660766,1270161,86.1,1069776,72.5,502089,502024,65650,13,2227350,150952,610421
New Mexico,2082125,99299,128448,1852022,88325,1825286,112603,1086281,51.8,1065074,65.7,817718,39,810221,50,1059825,896600,125700,0,47210,829091,973439,2282,341133,429554,46386,645,340951,422319,46306,645,771332,51.8,1065074,65.7,36.8,763915,47.1,1086281,329396,87.2,277925,73.6,126860,137954,12722,389,589942,156232,551401
Nevada,2569060,83407,107604,2111052,68537,2090624,87565,1239579,40.2,1224255,51.3,898594,29.2,893676,37.4,1343160,1070600,155300,0,74832,885000,1151220,0,357961,466697,73931,5,357918,461842,73911,5,824663,40.2,1224255,51.3,26.8,819765,34.3,1239579,381999,77,326255,65.8,156069,155182,15000,4,711741,143504,517985
New York State,19347575,99455,125428,16178509,83165,16009295,103786,9460031,48.6,9331441,60.5,7072752,36.4,7031536,45.6,10199475,8086300,1061800,0,610358,6919695,8645463,2993,2881908,3594069,596172,603,2881421,3553655,595866,594,6476580,48.6,9331441,60.5,33.3,6435670,41.7,9460031,2615656,79.4,2249068,68.2,1092837,1034545,121350,336,4768202,144660,586976
Ohio,10747775,91947,117964,8577643,73382,8474889,93017,4783268,40.9,4714694,51.7,3915682,33.5,3883332,42.6,5710575,4460700,576500,0,301975,3683831,4583973,7864,1598496,2023324,291534,2328,1598337,1991248,291428,2319,3624148,40.9,4714694,51.7,31,3591904,39.4,4783268,1622440,79.3,1482842,72.5,680721,740548,60208,1365,3093367,151167,525225
Oklahoma,3782545,95592,125886,2723545,68829,2693602,89645,1537843,38.9,1519454,50.6,1199983,30.3,1189054,39.6,1940445,1641200,200900,0,71164,1271265,1381080,36,538865,590758,70338,22,538732,580000,70300,22,1129645,38.9,1519454,50.6,28.5,1118754,37.2,1537843,508544,80.1,428185,67.4,225563,189812,12804,6,933782,147022,595553
Oregon,4083255,96812,121845,3178607,75363,3141012,93729,1936421,45.9,1906228,56.9,1353950,32.1,1345940,40.2,2076555,1755600,251100,0,100063,1376342,1700581,1621,567615,687091,98961,283,567114,679888,98657,281,1254989,45.9,1906228,56.9,29.8,1247283,37.2,1936421,615800,80.4,553853,72.3,253565,267176,32960,152,1129982,147502,533006
Pennsylvania,12985685,101435,127719,10438087,81535,10346341,101760,6509831,50.9,6434109,63.3,4308237,33.7,4291203,42.2,6575985,5485900,923800,0,356189,4477713,5603921,264,1719750,2226909,361367,211,1719235,2210558,361202,208,3946870,50.9,6434109,63.3,30.8,3930001,38.7,6509831,2240583,93.6,1682434,70.3,788729,843444,50141,120,3884346,162297,542571
Puerto Rico,3242340,101523,123708,1974000,61809,1957891,74701,1242762,38.9,1227028,46.8,818701,25.6,817738,31.2,1648140,1406200,188000,0,68793,794547,1110382,278,297493,452321,68869,18,297446,451486,68788,18,749832,38.9,1227028,46.8,23.5,748950,28.6,1242762,395389,72.8,319778,58.9,148240,160211,11324,3,700135,128955,597195
Rhode Island,1169975,110442,136861,947446,89436,936892,109595,567918,53.6,559321,65.4,409424,38.6,407660,47.7,628875,483300,57800,0,38294,398338,510787,27,164158,207163,38097,6,164140,205431,38083,6,371327,53.6,559321,65.4,35.1,369577,43.2,567918,171046,91.4,156239,83.5,72365,78963,4909,2,323277,172833,625501
Republic of Palau,24600,137376,176129,20410,113978,20410,146130,12760,71.3,12760,91.4,8961,50,8961,64.2,0,20800,3800,0,1134,19275,1,0,7809,18,1134,0,7809,18,1134,0,7827,71.3,12760,91.4,43.7,7827,56,12760,1576,51.8,1469,48.3,1343,8,118,0,2886,94809,808147
South Carolina,4616505,89663,114340,3317032,64424,3286668,81403,1906089,37,1885034,46.7,1461521,28.4,1452107,36,2433405,1910200,272900,0,100471,1341507,1873997,1057,544689,818718,97905,209,544289,809915,97694,209,1363616,37,1885034,46.7,26.5,1354413,33.5,1906089,752377,80.3,639286,68.2,267894,352621,18629,142,1376969,146951,492678
South Dakota,904295,102220,135463,713850,80692,706097,105773,398802,45.1,393711,59,336891,38.1,334184,50.1,436995,411900,55400,0,19206,326793,367838,13,149443,168112,19327,9,149408,165447,19320,9,317564,45.1,393711,59,35.9,314864,47.2,398802,134737,88.7,123897,81.6,64205,56991,2696,5,252867,166501,595436
Tennessee,5559400,81407,104517,4116429,60277,4083649,76773,2376198,34.8,2353090,44.2,1740456,25.5,1731192,32.5,2854800,2364900,339700,0,111395,1793812,2205269,5953,734411,895699,108597,1749,734258,886712,108475,1747,1631859,34.8,2353090,44.2,23.9,1622717,30.5,2376198,841315,73.6,703822,61.6,361200,321671,19844,1107,1568999,137223,486220
Texas,26000725,89670,120396,19350193,66734,19077882,88340,11253017,38.8,11091144,51.4,8130177,28,8013226,37.1,13407225,10906800,1686700,0,669509,8488397,10191527,760,3412071,4061789,655711,606,3362989,4003361,646279,597,7476252,38.8,11091144,51.4,25.8,7368707,34.1,11253017,2930286,78.5,2513851,67.3,1055012,1255905,202746,187,5379035,144047,696281
Utah,2614680,81557,114942,2201015,68654,2158335,94881,1289439,40.2,1257828,55.3,800160,25,789755,34.7,1326780,1138600,149300,0,86472,955829,1158714,0,318600,398228,83331,1,318476,388043,83235,1,716829,40.2,1257828,55.3,22.4,706520,31.1,1289439,307424,84,205994,56.3,90446,105043,10505,0,574325,156974,714643
Virginia,8451965,99021,126627,6888785,80707,6788704,101708,4107915,48.1,4031208,60.4,2952623,34.6,2928815,43.9,4521465,3474600,455900,0,224617,2860919,3801379,1870,1185051,1543700,223288,584,1183628,1521974,222631,582,2729335,48.1,4031208,60.4,32,2706184,40.5,4107915,1140257,83.9,980106,72.1,471901,459137,48697,371,2082258,153230,621968
Veterans Health,6235095,N/A,N/A,4978187,N/A,4977602,N/A,2691897,N/A,2691443,N/A,2403336,N/A,2403188,N/A,2730195,2984700,520200,0,119210,2604256,2254719,2,1218594,1065600,119141,1,1218568,1065496,119123,1,2284195,N/A,2691443,N/A,0,2284065,0,2691897,1436466,0,1339871,0,749493,549161,41216,1,2735655,0,0
Virgin Islands,66080,63126,80931,63661,60815,62994,77151,34144,32.6,33763,41.4,27208,26,26975,33,43680,21700,700,0,390,20930,42341,0,9208,17594,406,0,9199,17372,404,0,26802,32.6,33763,41.4,25.6,26571,32.5,34144,11357,63.8,9561,53.7,3997,5396,168,0,20884,117352,371319
Vermont,710550,113872,139328,595369,95413,590118,115713,361667,58,357441,70.1,248809,39.9,247853,48.6,356850,308700,45000,0,26673,263595,304569,532,100162,122230,26236,181,100144,121311,26217,181,222573,58,357441,70.1,35.7,221636,43.5,361667,119585,95.6,106779,85.4,52427,53489,743,120,231399,185061,568263
Washington,7597610,99773,127652,6056250,79532,5990097,100643,3637897,47.8,3585327,60.2,2573072,33.8,2559912,43,3981510,3195600,420500,0,203821,2594739,3254026,3664,1054118,1314224,203815,915,1053932,1301366,203700,914,2369257,47.8,3585327,60.2,31.1,2356212,39.6,3637897,1035260,85.6,939155,77.6,433690,467090,37770,605,1955964,161687,628045
Wisconsin,5458225,93745,119807,4767068,81874,4706847,103315,2695375,46.3,2654102,58.3,2137739,36.7,2120966,46.6,2810925,2357700,289600,0,175945,2044197,2546448,478,866477,1101603,169452,207,866328,1085069,169363,206,1968287,46.3,2654102,58.3,33.8,1951603,42.8,2695375,882697,86.8,822479,80.9,402917,402384,17092,86,1731208,170186,536570
West Virginia,1664475,92876,116187,1188740,66330,1173486,81914,645160,36,635814,44.4,555684,31,550184,38.4,800475,763200,100800,0,19424,573996,595320,0,260832,274383,20397,72,260707,269033,20372,72,535287,36,635814,44.4,29.9,529812,37,645160,259703,70.8,235684,64.2,121901,110372,3369,42,492700,134247,453522
Wyoming,483595,83557,108667,361199,62409,358509,80559,198293,34.3,196546,44.2,163997,28.3,163153,36.7,218595,233400,31600,0,11609,175814,173577,199,75448,77587,10926,36,75439,76756,10922,36,153071,34.3,196546,44.2,26.4,152231,34.2,198293,72797,73.4,66363,66.9,34528,30028,1792,15,137601,138740,487598
